Date,Adj Close,Close,High,Low,Open,Volume
2005-01-21,78.79943084716797,116.77999877929688,118.0,116.6500015258789,117.79000091552734,63160400
2005-01-24,78.64424133300781,116.55000305175781,117.33999633789062,116.37000274658203,117.08999633789062,58441900
2005-01-25,78.86687469482422,116.87999725341797,117.47000122070312,116.72000122070312,116.91000366210938,68245000
2005-01-26,79.10306549072266,117.2300033569336,117.5999984741211,117.04000091552734,117.31999969482422,57195100
2005-01-27,79.238037109375,117.43000030517578,117.75,116.9800033569336,117.19000244140625,55878800
2005-01-28,79.238037109375,117.43000030517578,117.55000305175781,116.61000061035156,117.48999786376953,60738900
2005-01-31,79.7305908203125,118.16000366210938,118.25,117.70999908447266,117.94999694824219,52532700
2005-02-01,80.23666381835938,118.91000366210938,119.08000183105469,118.0999984741211,118.25,49841200
2005-02-02,80.4795913696289,119.2699966430664,119.58999633789062,118.9000015258789,119.05999755859375,52468900
2005-02-03,80.27041625976562,118.95999908447266,119.16000366210938,118.56999969482422,119.05999755859375,48837100
2005-02-04,81.12735748291016,120.2300033569336,120.43000030517578,118.9800033569336,119.0,50024600
2005-02-07,81.0193862915039,120.06999969482422,120.5199966430664,119.95999908447266,120.25,45412000
2005-02-08,81.1138916015625,120.20999908447266,120.6500015258789,120.06999969482422,120.16999816894531,39263500
2005-02-09,80.50658416748047,119.30999755859375,120.48999786376953,119.25,120.41999816894531,55279400
2005-02-10,80.79673767089844,119.73999786376953,120.0199966430664,119.26000213623047,119.66000366210938,45858600
2005-02-11,81.4917221069336,120.7699966430664,121.04000091552734,119.45999908447266,119.69999694824219,53133000
2005-02-14,81.43099975585938,120.68000030517578,120.86000061035156,120.4800033569336,120.69000244140625,32432100
2005-02-15,81.73463439941406,121.12999725341797,121.43000030517578,120.68000030517578,120.80000305175781,43852700
2005-02-16,81.78865051269531,121.20999908447266,121.45999908447266,120.66999816894531,120.93000030517578,55523000
2005-02-17,81.12735748291016,120.2300033569336,121.33000183105469,120.22000122070312,121.2300033569336,58124000
2005-02-18,81.2353515625,120.38999938964844,120.4800033569336,119.9000015258789,120.23999786376953,47723300
2005-02-22,80.02750396728516,118.5999984741211,120.47000122070312,118.58000183105469,119.9000015258789,80697600
2005-02-23,80.60106658935547,119.44999694824219,119.56999969482422,118.62000274658203,118.93000030517578,68292600
2005-02-24,81.13410186767578,120.23999786376953,120.31999969482422,118.9800033569336,119.23999786376953,68563600
2005-02-25,81.93706512451172,121.43000030517578,121.66999816894531,120.18000030517578,120.2699966430664,60899900
2005-02-28,81.39727020263672,120.62999725341797,121.30000305175781,120.04000091552734,121.1500015258789,69381300
2005-03-01,81.80215454101562,121.2300033569336,121.5199966430664,120.77999877929688,120.81999969482422,47294400
2005-03-02,81.76163482666016,121.16999816894531,121.93000030517578,120.6500015258789,120.76000213623047,64226500
2005-03-03,81.7953872680664,121.22000122070312,121.9000015258789,120.69999694824219,121.66000366210938,61230800
2005-03-04,82.81427764892578,122.7300033569336,122.83000183105469,121.79000091552734,122.05000305175781,56168500
2005-03-07,82.85478210449219,122.79000091552734,123.25,122.4000015258789,122.66000366210938,43442400
2005-03-08,82.54436492919922,122.33000183105469,123.0,122.11000061035156,122.66999816894531,44362000
2005-03-09,81.62671661376953,120.97000122070312,122.29000091552734,120.95999908447266,121.97000122070312,73263600
2005-03-10,81.8088607788086,121.23999786376953,121.5,120.4000015258789,121.19999694824219,65149000
2005-03-11,81.2353515625,120.38999938964844,121.72000122070312,120.16000366210938,121.30999755859375,57976500
2005-03-14,81.7414321899414,121.13999938964844,121.16000366210938,120.27999877929688,120.61000061035156,36336400
2005-03-15,81.06664276123047,120.13999938964844,121.45999908447266,120.08000183105469,121.41999816894531,62438500
2005-03-16,80.37837219238281,119.12000274658203,120.16000366210938,118.9000015258789,119.69999694824219,74874200
2005-03-17,80.54032897949219,119.36000061035156,119.73999786376953,118.9800033569336,119.30999755859375,62584200
2005-03-18,80.30122375488281,118.54000091552734,119.52999877929688,118.1500015258789,119.11000061035156,60232000
2005-03-21,80.00311279296875,118.0999984741211,118.77999877929688,117.76000213623047,118.70999908447266,61244300
2005-03-22,79.19023895263672,116.9000015258789,118.93000030517578,116.9000015258789,118.37000274658203,92472400
2005-03-23,79.25798034667969,117.0,117.72000122070312,116.75,116.94999694824219,70817300
2005-03-24,79.35282135009766,117.13999938964844,117.98999786376953,117.05999755859375,117.45999908447266,51932500
2005-03-28,79.46794891357422,117.30999755859375,117.94000244140625,117.30999755859375,117.41999816894531,46765500
2005-03-29,78.93956756591797,116.52999877929688,117.9000015258789,116.25,117.13999938964844,71160300
2005-03-30,80.05731964111328,118.18000030517578,118.19999694824219,116.7699966430664,116.77999877929688,62002100
2005-03-31,79.90827941894531,117.95999908447266,118.45999908447266,117.87000274658203,118.19000244140625,64575400
2005-04-01,79.54925537109375,117.43000030517578,118.98999786376953,116.91000366210938,118.62999725341797,95255300
2005-04-04,79.6847152709961,117.62999725341797,117.86000061035156,116.73999786376953,117.36000061035156,71581200
2005-04-05,80.06409454345703,118.19000244140625,118.37999725341797,117.66999816894531,117.77999877929688,46853900
